page_no,page_data,tab_data,image_data
10,". Hyundai Warranty Policy Hyundai New Vehicle Warranty ........................................................................-2  Replacement Parts Warranty ............................................................................-3 Hyundai Extended Warranty ............................................................................-5 Labour Free Service of Vehicle ........................................................................-5 Hyundai Road Side Assistance ....................................................-6 Labour Free Service Coupons..........................................................................-7 
",,
11,"3. W HYUNDAI NEW VEHICLE WARRANTY Hyundai Motor India Limited herein- after called HMIL, warrants that each new Hyundai vehicle sold shall be free from any defects in material and workmanship, under normal use and maintenance, subject to the fol- lowing terms and conditions. This N o s i m i 3. What is not covered This warranty shall not apply to: Normal maintenance services other than the three labour free services, including without lim- itation, cleaning and polishing, minor adjustments, engine tun- ing, oil/fluid changes, filters re- plenishment, fastener retighten- ing, wheel balancing, wheel alignment and tyre rotation etc. Replacement of parts as a result of normal wear and tear such as spark plugs, belts, brake pads and linings, clutch disc/facing, filters, wiper blades, bulbs, fuses, etc. Damage or failure resulting from : Negligence of proper mainte- nance as required in this Owners Manual and Service Booklet. Misuse, abuse, accident, theft,- flooding or fire. Use of improper or insufficientfu- el, fluids or lubricants. Use of parts other than Hyundai Genuine Parts. Any device and/or accessories- not supplied by HMIL. Modifications, alterations, tam- pering or improper repair. Parts used in applications of- which they were not designed or not approved by HMIL. Slight irregularities not rec- ognised as affecting quality or- function of the vehicle or parts,- such as slight noise or vibrations,or items considered- characteristic of the vehicle. Airborne fallout, Industrialfall out, acid rain, hail and wind- storms, or other Acts of God. 1. Warranty Period This warranty for hyundai vehicle shall exist for a period of 36 months from the date of delivery to the first purchaser irrespective of the mile- age. However the warranty for hyun- dai vehicle being used for commer- cial purpose such as Taxi/Tourist operation is 36 months/100,000 Kms from the date of delivery to the first purchaser which soever is earlier. This warranty is transferable to sub- sequent owner for the remaining warranty period. This warranty is ap- plicable only in India and not trans- ferable to any other country. 2. What is covered Except as provided in paragraph 3 hereof, our Authorized Dealers shall either repair or replace, any Hyundai genuine part that is acknowledged by HMIL to be defective in material or workmanship within the warranty pe- riod stipulated above, at no cost to the owner of the Hyundai vehicle for parts or labour. Such defective parts which have been replaced will be- come the property of HMIL 
",,
12,"Paint scratches, dents or similar- paint or body damage. Action of road elements (sand,- gravel, dust or road debris) which results in stone chipping of paint or glass. Incidental or consequential dam- ages, including without limita- tion, loss of time, inconvenience, loss of use of vehicle or commer- cial loss. This warranty is the entire war- ranty given by HMIL for Hyundai vehicles and no dealer or its or his agent or employee is authorized to extend or enlarge this warranty and no dealer or its or his agent or employee is authorized to make any oral warranty on HMILs behalf. HMIL reserves the right to make any change in design or make any improvement on the vehicle at any time without any obliga- tion to make the same change on vehicles previously sold. HMIL reserves the right for the fi- nal decision in all warranty mat- ters. 2ZQHUV5HVSRQVLELOLWLHV Proper use, maintenance and care of vehicle in accordance with the instructions contained in this Owners Manual and Service Booklet. If the vehicle is subject such as operation in extremely dusty, rough, more repeated short distance driving or heavy city traffic during hot weather, maintenance of vehicle should be done more frequently as men- tioned in this Owners Manual and Service Booklet Retention of maintenance service records. It may be necessary for the customer to show that the re- quired maintenance has been performed, as specified in this Owners Manual and Service Booklet. Delivery of the vehicle during reg- ular service business hours to any authorized Hyundai Dealer to obtain warranty service. In order to maintain the validity of this Basic Warranty, the vehicle must be serviced by Hyundai Au- thorized workshop in accordance to the Owners Manual and Ser- vice Booklet. 3$5765(3/$&(0(17:$5 5$17< Hyundai Motor India Limited herein- after called HMIL, warrants that each new Hyundai Genuine replace- ment part purchased from and in- stalled by Hyundai Authorized Dealer shall be free from any defects in ma- terial or workmanship, unde normal use and maintenance, subject to the following terms and conditions :DUUDQW\SHULRG This warranty shall exist for a period of 6 months or until the vehicle has :LUHOHVV&KDUJHU$LU3XULILHU$X[LOODU\ %DWWHULHV7\UHV7XEHV$&:DOOER[ &KDUJHU 3RUWDEOH &KDUJHU ,&&% RU DQ\ H[WHUQDO DFFHVVRU\ RULJLQDOO\ HTXLSSHG RQ +\XQGDL 9HKLFOHV DUH ZDUUDQWHG GLUHFWO\ E\ WKH UHVSHFWLYH PDQXIDFWXUHUVDQGQRWE\+0,/ 
",,
13,"been driven for a distance of 10,000 Kilometers from the date of installa- tion of replacement part by Hyundai Authorized Dealer, whichever occurs first. 2. What is covered Our Authorized Dealers shall either repair or replace, any Hyundai genu- ine par listed in paragraph 3 hereof, that is acknowledged by HMIL to be defective in material or workmanship within the warranty period stipulated above, after examinations carried out to confirm that none of the origi al settings have been tampered with, at no cost to the owner of the Hyund- ai vehicle for parts or labour. Such defective parts which have been re- placed will become the property of HMIL 3. What is not covered This warranty shall not apply to: Normal maintenance services of parts such as cleaning, adjust- ment or replacement (i.e. spark plugs that are oil fouled, lead fouled, or which fail due to the use of low grade fuel). Parts that fail due to abuse, mis- use, neglect, alteration or acci- dent or which have been improp- erly lubricated or repaired Parts used in applications for- which they were not designed or approved by HMIL. Failure due to normal wear of- parts. Direct or indirect failures caused by misuse and improper mainte- nance of vehicle.  Any vehicle on which the odome- ter reading has been altered so that mileage cannot be accurate- ly determined.  Incidental or consequential dam- ages, including without limita- tion, loss of time, inconvenience, loss of use of vehicle or commer- cial loss. This warranty is the entire warranty given by HMIL for Hyundai replace- ment parts and no de aler or its or his agent or employee is authorized to extend or enlarge this warranty and no dealer or its or his agent or em- ployee is authorized to make any oral warranty on HMILs behalf. HMIL re- serves the right for the final decision in all warranty matters. Owners Responsibility :  Proper use, maintenance and re of the vehicle in accordancewith the instructions contained in the Owners Manual and Service Booklet.  Retention of maintenance ser- vice records. It may be necessary for the customer to show that the required maintenance has been performed, as specified in this Owners Manual and Service Booklet.  Retention of the customers copy of the original repair order and its invoice/bill against which the part was replaced.  Delivery of the vehicle during regular service business hours to the same Hyundai Authorized Dealer who had sold and installed the replacement part  In order to maintain the validity 
",,
14,"of this Parts replacement War- ranty, the vehicle must be ser- viced by Hyundai Authorized workshop in accordance to the Owners Manual and Service Booklet. Labour Free Service of Vehicle Your vehicle is entitled for first three labour free services of Periodic Maintenance Schedule (PMS). Please refer page - for Oabour free service coupons and page - for PMS services. NOTICE : All Consumables, Wheel Alignment and / or Part Replacement (if not covered in warranty), if required are chargeable to the customer(s). HYUNDAI EXTENDED WARRANTY* HMIL offers optional paid extended warranty on selected models, in addition to the basic new vehicle warranty. For more details on Hyundai Extended Warranty please call the nearest dealer or our toll free number 1-800-11-4645. 2U9LVLWRXU+\XQGDL:HEVLWH ZZZK\XQGDLFRLQ *Conditions apply 
",,
15,,"<tab>The table's data refers to Hyundai's warranty policy and roadside assistance program. The policy is valid for three years following the purchase date and offers customers access to 24/7 emergency support. In the event of mechanical breakdowns, electrical failures, or road traffic accidents, Hyundai's roadside assistance program will provide assistance. The program also covers specific events such as roadside repairs, vehicle recovery, tire punctures, dead batteries, and key-related issues like locked, lost, or broken vehicle keys. 

It's important to note that the policy has several terms and conditions. For instance, the cost of parts replacement is not included unless specified in the Hyundai warranty, and repairs made to the vehicle are also not covered unless through a Hyundai authorized dealer. The policy also states that the vehicle must be immobile for the service to be applicable. For more details, customers are advised to visit the program's dedicated website.</tab>
",
16,,,
17,,"<tab>The table appears to be a checklist for a vehicle inspection or maintenance record. Each row corresponds to a different vehicle component or system, with each column representing an assessment or action related to that component. 

The first row contains the name of the services and the last row has labels for the columns. The cells include abbreviations, notes, and codes seemingly related to the condition of the vehicle's components or the tasks completed.

For instance, the second row indicates that the vehicle was placed on a lift for inspection, and various systems were checked, with notes on the condition of the steering gear, linkage, and boots. It also mentions requirements, such as ""I"" which appears in several columns, possibly indicating items that require attention or further investigation.

Some parts of the data seem to be encoded or use abbreviations that are not easily decipherable without additional context. The third row, for example, has a lengthy description in the third column, referring to a specific vehicle component and its status or requirements.

The rightmost columns seem to indicate the inspection status of various components, with labels like ""Done,"" ""Reqd"" (required), ""I"" (inspect), and others. The final two rows appear to be related to the assessment of additional items, with the last row focusing on the road test. 

Overall, the table provides a comprehensive record of a vehicle inspection, including the systems checked, their status, and any relevant observations or actions. However, some of the content is hard to decipher without further information on the meaning of the codes and abbreviations used.</tab>
<tab>The table appears to be a checklist for maintaining or inspecting a vehicle, likely a car. Each row represents a different component or system in the vehicle that requires attention. The columns indicate the status or requirements of each item.

The first row, for instance, suggests that the ""engine bay"" has been ""done,"" indicating an inspection or maintenance task completed. The second and third rows seem to refer to the vehicle's body and underbody conditions, with terms like ""floor,"" ""rocker panels,"" and ""rust."" These appear to be checked and recorded as either ""done"" or ""required"" (reqd.).

The fourth row mentions engine oil and filter, requiring attention or replacement, while the fifth row refers to the engine timing chain or belt, needing inspection and possible replacement. Row six focuses on the battery and its connections, and row seven addresses the brake system, mentioning brake pads and shoes.

Some entries describe inspections of specific systems, such as the eighth row checking spark plugs and the ninth row examining hoses related to vacuum, EGR, VGT, and WGT systems. The tenth row looks at the tensile strength of the engine and notes any fluid leaks. Tyre condition, including tread depth and pressure, is inspected, as seen in the eleventh row.

The twelfth row mentions wiper blades and washer fluids, which are to be replaced or refilled. Row thirteen shifts attention to the brake and clutch system, checking for free play and leakages. Several rows examine various components of the vehicle's drivetrain, including the transmission, differential, and drive shafts. Air filters and cooling systems are also inspected, as indicated in the fourteenth and fifteenth rows.

The final row appears to be a catch-all for any additional notes or observations about the vehicle's condition, with entries like ""check suspension"" and ""replace air filter."" Overall, the data suggests a thorough check of the vehicle's key systems and components, likely as part of a routine maintenance routine.

Unfortunately, the data contains many abbreviations and cryptic terms, making it challenging to decipher the exact nature of the vehicle's components and systems. Without additional context, some of the information is difficult to interpret.</tab>
","<img file_path=(image_Next_Gen_Verna_17_1.png)>The image is a blank checklist for a vehicle inspection or maintenance record. It is organized as a table with numerous rows and columns, likely representing different vehicle components and their corresponding inspection statuses. The cells in the table appear to be empty and ready to be filled with information, such as checkmarks, abbreviations, or notes, indicating the condition of each component or the tasks performed. The provided text describes a similar checklist and its features, such as the use of abbreviations and codes to signify inspection status, but the image itself only shows a blank template. It is not possible to determine any specific information about the vehicle or its inspection from the image alone. 
</img>
"
18,"2. Vehicle Information 2 Exterior overview (front view) ...........................................................................2-2 Exterior overview (rear view) ............................................................................2-3 Interior overview ............................................................................................... 2-4 Center console overview .................................................................................. 2-5 Steering wheel control overview ..................................................................... 2-6 Engine compartment overview ........................................................................2-7 Dimensions ........................................................................................................ 2-9 Engine ................................................................................................................ 2-9 Bulb wattage ....................................................................................................2-10 Tires and wheels ...............................................................................................2-11 Load and speed capacity tires ........................................................................ 2-12 Air conditioning system ................................................................................... 2-12 Vehicle weight and luggage volume .............................................................. 2-12 Recommended lubricants and capacities ..................................................... 2-13 Recommended SAE viscosity number ......................................................................2-14 Vehicle Identification Number (VIN) ..............................................................2-16 Vehicle certification label ................................................................................2-16 Tire specification and pressure label ..............................................................2-16 Engine number ................................................................................................. 2-17 Air conditioner compressor label ................................................................... 2-17 Declaration of conformity ............................................................................... 2-17 
",,
19,"(;7(5,2529(59,(:)52179,(: 1. Hood ...................................................... 5-39 2. Front light ..............................................9-54 3. Tires and wheels ................................... 9-34 4. Outside rearview mirror ....................... 5-28 OBN7I013001 OBN7I013001 5. Sunroof .................................................. 5-35 6. Front windshield wiper blades ............ 9-29 7. Windows ................................................ 5-31 8. Front radar ...............................................7-2 The actual shape may differ from the illustration. 
",,"<img file_path=(image_Next_Gen_Verna_19_1.jpeg)>The image shows a silver sedan from a slightly elevated angle, with various components labelled. Starting from the front, the hood (1), front lights (2), front radar (8), and front windshield wiper blades (6) are clearly visible. On the side, the tires and wheels (3), outside rearview mirror (4), sunroof (5), windows (7), and the hood (1) are labelled. The car is on a white background, and the labels are black and white, indicating that this is a diagram used to illustrate the parts of the car. The actual shape of the car may differ from the illustration.</img>
"
20,"(;7(5,2529(59,(:5($59,(: 1. Door ........................................................5-16 2. Fuel filler door ....................................... 5-43 3. Rear combination light.........................9-56 5. High mounted stop light ...................... 9-57 6. Antenna .................................................5-94 7. Wide-rear view camera .........................7-74 4. Trunk ......................................................5-40 The actual shape may differ from the illustration. OBN7I013002 OBN7I013002 
",,"<img file_path=(image_Next_Gen_Verna_20_1.jpeg)>The image shows a silver sedan from the back, rear-right side. The car has various parts labelled with numbers, including the door, fuel filler door, rear combination light, high mounted stop light, antenna, trunk, and wide-rear view camera. The rear-view camera is shown in a separate, zoomed-in box above the car. The text below the image lists the corresponding names and page numbers for each item. The image also includes the text ""The actual shape may differ from the illustration.""</img>
"
21,",17(5,2529(59,(: 1. Inside door handle ................................. 5-17 2. Power window switches .......................5-32 3. Power window lock button .................. 5-34 4. Outside rearview mirror folding switch .................................................... 5-29 5. Outside rearview mirror control switch .................................................... 5-29 6. Central door lock switch .......................5-18 7. Headlight leveling device ....................5-50 8. Idle stop and go (ISG) ...........................6-54 9. ESC (Electronic Stability Control) OFF button ....................................................6-45 10. Steering wheel .......................................5-23 11. Steering wheel tilt/telescopic lever ...................................................... 5-24 12. Fuse box ................................................9-44 13. Hood release lever ................................ 5-39 14. Seat .......................................................... 3-3 The actual shape may differ from the illustration. OBN7I013003 OBN7I013003 
",,"<img file_path=(image_Next_Gen_Verna_21_1.jpeg)>The image is a diagram of the interior of a car. The diagram labels different components of the car's interior, such as the door handle, power window switches, power window lock button, outside rearview mirror folding switch, outside rearview mirror control switch, central door lock switch, headlight leveling device, idle stop and go button, ESC (Electronic Stability Control) OFF button, steering wheel, steering wheel tilt/telescopic lever, fuse box, hood release lever, and seat. The diagram also shows the location of the car's dashboard, steering wheel, and seats. The actual shape may differ from the illustration.</img>
"
22,"&(17(5&2162/(29(59,(: 1. Instrument cluster ..................................4-4 2. Horn ........................................................5-25 3. Drivers front airbag .............................. 3-38 4. Engine Start/Stop button * ....................6-8 5. Infotainment system ............................4-45 6. Hazard warning flasher button .............. 8-2 7. Climate control system ...............5-58, 5-67 8. Passengers front airbag ...................... 3-38 9. Glove box ..............................................5-83 10. Transmission shift lever ......6-15, 6-18, 6-26 11. Center console storage ........................ 5-82 12. USB charger .......................................... 5-87 13. Air ventilation seat .................................3-15 OBN7I013004 OBN7I013004 14. Seat warmer ...........................................3-14 15. Parking Safety button ..................7-89, 7-94 16. Parking/View button .............................7-75 17. Drive mode button ...............................6-58 18. Wireless charging system pad .............5-88 19. Power outlet ..........................................5-86 20. USB port ................................................5-94 21. EPB (Electronic Parking Brake) switch ....................................................6-36 22. Auto Hold switch ..................................6-40 23. Cup holder ............................................5-85 * : if equipped The actual shape may differ from the illustration. 
",,"<img file_path=(image_Next_Gen_Verna_22_1.jpeg)>The image is a diagram of a car's interior, showcasing various components and features. The top part of the image displays the dashboard, including the instrument cluster, horn, driver's front airbag, engine start/stop button, infotainment system, hazard warning flasher button, and climate control system. Below the dashboard, there are three separate sections labeled A, B, and C. Section A shows the passenger's front airbag, glove box, transmission shift lever, and center console storage. Section B presents the USB charger, air ventilation seat, seat warmer, parking safety button, parking/view button, drive mode button, wireless charging system pad, power outlet, USB port, EPB (Electronic Parking Brake) switch, and auto hold switch. Finally, section C displays the cup holder. The diagram provides a comprehensive overview of the car's interior features and their locations.  The text data clarifies that some features, such as the engine start/stop button, may not be available on all car models. 
</img>
"
23,"67((5,1*:+((/&21752/29(59,(: OBN7I013005 OBN7I013005 6. Bluetooth wireless technology hands-free button ................................ 5-97 7. Cluster display control .........................4-30 8. Driving Assist button .......... 7-41, 7-50, 7-54 9. Vehicle Distance button ........................7-54 10. Lane Driving Assist button ............ 7-21, 7-71 1. Lighting control lever ...........................5-46 2. Wiper and washer control lever........... 5-56 3. Paddle shifter ........................................ 6-32 4. Voice recognition button .....................5-96 5. Steering wheel audio controls ............. 5-95 The actual shape may differ from the illustration. 
",,"<img file_path=(image_Next_Gen_Verna_23_1.jpeg)>The image depicts a labelled diagram of the interior of a car, specifically focusing on the steering wheel and its controls, as well as the dashboard and its controls. It shows the location of the steering wheel audio controls, voice recognition button, driving assist button, vehicle distance button, lane driving assist button, Bluetooth wireless technology hands-free button, cluster display control, paddle shifter, lighting control lever, wiper and washer control lever. Each control is labelled with a letter and corresponding number, which is referenced in the accompanying text. The image provides a detailed visual representation of the car's controls, allowing users to easily identify their locations.</img>
"
24,"(1*,1(&203$570(1729(59,(: Smartstream G1.5 Smartstream G1.5 1. Engine coolant reservoir ......................9-20 2. Radiator cap ..........................................9-20 3. Brake/clutch* fluid reservoir ............... 9-23 4. Air cleaner ............................................. 9-25 5. Engine oil dipstick ................................. 9-17 OBN7I093002 OBN7I093002 6. Engine oil filler cap ................................ 9-17 7. Windshield washer fluid reservoir ....... 9-24 8. Fuse box ................................................9-43 9. Battery ...................................................9-30 * : if equipped The actual engine compartment in the vehicle may differ from the illustration. 
",,"<img file_path=(image_Next_Gen_Verna_24_1.jpeg)>The image is a diagram of the engine compartment of a car. It shows the location of various components, including the engine coolant reservoir, radiator cap, brake/clutch fluid reservoir, air cleaner, engine oil dipstick, engine oil filler cap, windshield washer fluid reservoir, fuse box, and battery. The diagram is labeled with numbers corresponding to the specific components, and the text data provides the name and page number for each component. This diagram is helpful for locating and identifying different components in the engine compartment of a car. It's important to note that the actual engine compartment in the vehicle may differ from the illustration. 
</img>
"
25," Smartstream G1.5 T-GDi Smartstream G1.5 T-GDi 1. Engine coolant reservoir ......................9-20 2. Radiator cap ..........................................9-20 3. Brake/clutch* fluid reservoir ............... 9-23 4. Air cleaner ............................................. 9-25 5. Engine oil dipstick ................................. 9-17 OBN7I093001 OBN7I093001 6. Engine oil filler cap ................................ 9-17 7. Windshield washer fluid reservoir ....... 9-24 8. Fuse box ................................................9-43 9. Battery ...................................................9-30 * : if equipped The actual engine compartment in the vehicle may differ from the illustration. 
",,"<img file_path=(image_Next_Gen_Verna_25_1.jpeg)>The image is a diagram of an engine compartment of a car, showing the location of various components. The components are labeled with numbers that correspond to a list of parts and their page numbers in a manual. These components include the engine coolant reservoir, radiator cap, brake/clutch fluid reservoir, air cleaner, engine oil dipstick, engine oil filler cap, windshield washer fluid reservoir, fuse box, and battery.  The diagram is in grayscale and the car is viewed from the front, with the hood open. The illustration is intended to be used for reference purposes and may not accurately reflect the actual engine compartment of a specific vehicle.  The text indicates that the actual engine compartment in the vehicle may differ from the illustration.  The text also indicates that some components, such as the brake/clutch fluid reservoir, are optional.</img>
"
