page_no,page_data,tab_data,image_data
10,"+\XQGDL:DUUDQW\3ROLF\ +\XQGDL1HZ9HKLFOH:DUUDQW\  5HSODFHPHQW3DUWV:DUUDQW\ +\XQGDL([WHQGHG:DUUDQW\ /DERXU)UHH6HUYLFHRI9HKLFOH +\XQGDL5RDG6LGH$VVLVWDQFH /DERXU)UHH6HUYLFH&RXSRQV 
",,
11,"HYUNDAI NEW VEHICLE WARRANTY +\XQGDL0RWRU,QGLD/LPLWHGKHUHLQ DIWHU FDOOHG +0,/ ZDUUDQWV WKDW HDFKQHZ+\XQGDLYHKLFOHVROGVKDOO EHIUHHIURPDQ\GHIHFWVLQPDWHULDO DQGZRUNPDQVKLSXQGHUQRUPDOXVH DQG PDLQWHQDQFH VXEMHFW WR WKH IRO ORZLQJ WHUPV DQG FRQGLWLRQV :DUUDQW\3HULRG 7KLV ZDUUDQW\ IRU K\XQGDL YHKLFOH VKDOO H[LVW IRU D SHULRG RI PRQWKV IURP WKH GDWH RI GHOLYHU\ WR WKH ILUVW SXUFKDVHU LUUHVSHFWLYH RI WKH PLOHDJH +RZHYHU WKH ZDUUDQW\ IRU K\XQGDL YHKLFOH EHLQJ XVHG IRU FRPPHUFLDO SXUSRVH VXFK DV 7D[L7RXULVW RSHUDWLRQ LV PRQWKV .PV IURP WKH GDWH RI GHOLYHU\ WR WKH ILUVW SXUFKDVHU ZKLFK VRHYHU LV HDUOLHU 7KLV ZDUUDQW\ LV WUDQVIHUDEOH WR VXEVHTXHQW RZQHU IRU WKH UHPDLQLQJ ZDUUDQW\ SHULRG 7KLV ZDUUDQW\ LV DSSOLFDEOH RQO\ LQ ,QGLD DQG QRW WUDQVIHUDEOH WRDQ\RWKHUFRXQWU\ :KDWLVFRYHUHG ([FHSW DV SURYLGHG LQ SDUDJUDSK KHUHRI RXU $XWKRUL]HG 'HDOHUV VKDOO HLWKHU UHSDLU RU UHSODFH DQ\ +\XQGDL JHQXLQH SDUW WKDW LV DFNQRZOHGJHG E\ +0,/ WR EH GHIHFWLYH LQ PDWHULDO RU ZRUNPDQVKLS ZLWKLQ WKH ZDUUDQW\ SHULRG VWLSXODWHG DERYH DW QR FRVW WR WKH RZQHU RI WKH +\XQGDL YHKLFOH IRU SDUWV RU ODERXU 6XFK GHIHFWLYH SDUWV ZKLFK KDYH EHHQ UHSODFHG ZLOO EHFRPHWKHSURSHUW\ RI+0,/ 3. What is not covered This warranty shall not apply to: 1RUPDO PDLQWHQDQFH VHUYLFHV RWKHU WKDQ WKH WKUHH ODERXU IUHH LWDWLRQ FOHDQLQJ DQG SROLVKLQJ PLQRU DGMXVWPHQWV HQJLQH WXQ LQJ RLOIOXLG FKDQJHV ILOWHUV UH SOHQLVKPHQW IDVWHQHU UHWLJKWHQ LQJ ZKHHO EDODQFLQJ ZKHHO DOLJQPHQW DQG W\UH URWDWLRQ HWF  5HSODFHPHQWRISDUWVDVDUHVXOW RIQRUPDOZHDUDQGWHDUVXFKDV VSDUN SOXJV EHOWV EUDNH SDGV DQG OLQLQJV FOXWFK GLVFIDFLQJ ILOWHUVZLSHUEODGHVEXOEVIXVHV HWF Damage or failure resulting from   1HJOLJHQFH RI SURSHU PDLQWH QDQFHDVUHTXLUHGLQWKLV2ZQHUV 0DQXDODQG6HUYLFH%RRNOHW  0LVXVH DEXVH DFFLGHQW WKHIW IORRGLQJRUILUH  8VHRILPSURSHURULQVXIILFLHQWIX HOIOXLGVRUOXEULFDQWV  8VHRISDUWVRWKHUWKDQ+\XQGDL *HQXLQH3DUWV  $Q\ GHYLFH DQGRU DFFHVVRULHV QRWVXSSOLHGE\+0,/  0RGLILFDWLRQV DOWHUDWLRQV WDP SHULQJRULPSURSHUUHSDLU  3DUWV XVHG LQ DSSOLFDWLRQV RI ZKLFKWKH\ZHUHQRWGHVLJQHGRU QRWDSSURYHGE\+0,/  6OLJKW LUUHJXODULWLHV QRW UHF RJQLVHG DV DIIHFWLQJ TXDOLW\ RU IXQFWLRQRIWKHYHKLFOHRUSDUWV VXFK DV VOLJKW QRLVH RU YLEUDWLRQVRU LWHPV FRQVLGHUHG FKDUDFWHULVWLFRIWKHYHKLFOH  $LUERUQH IDOORXW ,QGXVWULDOIDOO RXW DFLG UDLQ KDLO DQG ZLQG VWRUPVRURWKHU$FWVRI*RG  3DLQWVFUDWFKHVGHQWVRUVLPLODU SDLQWRUERG\GDPDJH  $FWLRQ RI URDG HOHPHQWV VDQG JUDYHOGXVWRUURDGGHEULVZKLFK UHVXOWVLQVWRQHFKLSSLQJRISDLQW 
",,
12,"RUJODVV ,QFLGHQWDORUFRQVHTXHQWLDOGDP DJHVLQFOXGLQJZLWKRXWOLPLWD WLRQORVVRIWLPHLQFRQYHQLHQFH ORVVRIXVHRIYHKLFOHRUFRPPHU FLDOORVV 7KLVZDUUDQW\LVWKHHQWLUHZDU UDQW\JLYHQE\+0,/IRU+\XQGDL YHKLFOHVDQGQRGHDOHURULWVRU KLVDJHQWRUHPSOR\HHLV DXWKRUL]HGWRH[WHQGRUHQODUJH WKLVZDUUDQW\DQGQRGHDOHURULWV RUKLVDJHQWRUHPSOR\HHLV DXWKRUL]HGWRPDNHDQ\RUDO ZDUUDQW\RQ+0,/VEHKDOI +0,/UHVHUYHVWKHULJKWWRPDNH DQ\ FKDQJH LQ GHVLJQ RU PDNH DQ\LPSURYHPHQWRQWKHYHKLFOH DWDQ\WLPHZLWKRXWDQ\REOLJD WLRQWRPDNHWKHVDPHFKDQJHRQ YHKLFOHVSUHYLRXVO\VROG +0,/UHVHUYHVWKHULJKWIRUWKHIL QDOGHFLVLRQLQDOOZDUUDQW\PDW WHUV Owners Responsibilities 3URSHUXVHPDLQWHQDQFHDQGFDUH RIYHKLFOHLQDFFRUGDQFHZLWKWKH LQVWUXFWLRQV FRQWDLQHG LQ WKLV 2ZQHUV 0DQXDO DQG 6HUYLFH %RRNOHW,IWKHYHKLFOHLVVXEMHFW WRVHYHUHXVDJHFRQGLWLRQVVX VXFK DV RSHUDWLRQ LQ H[WUHPHO\ GXVW\ URXJK PRUH UHSHDWHG VKRUW GLVWDQFH GULYLQJ RU KHDY\ FLW\ WUDIILF GXULQJ KRW ZHDWKHU PDLQWHQDQFH RI YHKLFOH VKRXOG WLRQHG LQ WKLV 2ZQHUV 0DQXDO DQG6HUYLFH%RRNOHW 5HWHQWLRQRIPDLQWHQDQFHVHUYLFH UHFRUGV,WPD\EHQHFHVVDU\IRU WKHFXVWRPHUWRVKRZWKDWWKHUH TXLUHG PDLQWHQDQFH KDV EHHQ SHUIRUPHG DV VSHFLILHG LQ WKLV 2ZQHUV 0DQXDO DQG 6HUYLFH %RRNOHW 'HOLYHU\RIWKHYHKLFOHGXULQJUHJ XODU VHUYLFH EXVLQHVV KRXUV WR DQ\DXWKRUL]HG+\XQGDL'HDOHUWR REWDLQZDUUDQW\VHUYLFH ,QRUGHUWRPDLQWDLQWKHYDOLGLW\RI WKLV %DVLF :DUUDQW\ WKH YHKLFOH PXVWEHVHUYLFHGE\+\XQGDL$X WKRUL]HGZRUNVKRSLQDFFRUGDQFH WRWKH2ZQHUV0DQXDODQG6HU YLFH%RRNOHW PARTS REPLACEMENT WAR RANTY +\XQGDL0RWRU,QGLD/LPLWHGKHUHLQ DIWHU FDOOHG +0,/ ZDUUDQWV WKDW HDFKQHZ+\XQGDL*HQXLQHUHSODFH PHQW SDUW SXUFKDVHG IURP DQG LQ VWDOOHGE\+\XQGDL$XWKRUL]HG'HDOHU VKDOOEHIUHHIURPDQ\GHIHFWVLQPD WHULDO RU ZRUNPDQVKLS XQGH QRUPDO XVHDQGPDLQWHQDQFHVXEMHFWWRWKH IROORZLQJWHUPVDQGFRQGLWLRQV 1. Warranty period 7KLVZDUUDQW\VKDOOH[LVWIRUDSHULRG RIPRQWKVRUXQWLOWKHYHKLFOHKDV EHHQGULYHQIRUDGLVWDQFHRI .LORPHWHUVIURPWKHGDWHRILQVWDOOD WLRQRIUHSODFHPHQWSDUWE\+\XQGDL $XWKRUL]HG'HDOHUZKLFKHYHURFFXUV ILUVW %DWWHULHV :LUHOHVV &KDUJHU 7\UHV  7XEHV $XGLR 6\VWHPV DQG &1* .LW  &RPSRQHQWV RU DQ\ H[WHUQDO DFFHVVRU\ RULJLQDOO\ HTXLSSHG RQ +\XQGDL YHKLFOHV DUH ZDUUDQWHG GLUHFWO\ E\ WKH UHVSHFWLYH PDQXIDFWXUHUVDQGQRWE\+0,/ 
",,
13,"2. What is covered 2XU $XWKRUL]HG 'HDOHUV VKDOO HLWKHU UHSDLURUUHSODFHDQ\+\XQGDLJHQX LQHSDUOLVWHGLQSDUDJUDSKKHUHRI WKDWLVDFNQRZOHGJHGE\+0,/WREH GHIHFWLYHLQPDWHULDORUZRUNPDQVKLS ZLWKLQWKHZDUUDQW\SHULRGVWLSXODWHG DERYH DIWHU H[DPLQDWLRQV FDUULHG RXWWRFRQILUPWKDWQRQHRIWKHRULJL DOVHWWLQJVKDYHEHHQWDPSHUHGZLWK DWQRFRVWWRWKHRZQHURIWKH+\XQG DL YHKLFOH IRU SDUWV RU ODERXU 6XFK GHIHFWLYHSDUWVZKLFKKDYHEHHQUH SODFHG ZLOO EHFRPH WKH SURSHUW\ RI +0,/ What is not covered 7KLVZDUUDQW\VKDOOQRWDSSO\WR 1RUPDOPDLQWHQDQFHVHUYLFHVRI SDUWV VXFK DV FOHDQLQJ DGMXVW PHQW RU UHSODFHPHQW LH VSDUN SOXJV WKDW DUH RLO IRXOHG OHDG IRXOHG RU ZKLFK IDLO GXH WR WKH XVHRIORZJUDGHIXHO 3DUWVWKDWIDLOGXHWRDEXVHPLV XVH QHJOHFW DOWHUDWLRQ RU DFFL GHQWRUZKLFKKDYHEHHQLPSURS HUO\OXEULFDWHGRUUHSDLUHG 3DUWV XVHG LQ DSSOLFDWLRQV IRU ZKLFKWKH\ZHUHQRWGHVLJQHGRU DSSURYHGE\+0,/ )DLOXUH GXH WR QRUPDO ZHDU RI SDUWV 'LUHFWRULQGLUHFWIDLOXUHVFDXVHG E\PLVXVHDQGLPSURSHUPDLQWH QDQFHRIYHKLFOH $Q\YHKLFOHRQZKLFKWKHRGRPH WHU UHDGLQJ KDV EHHQ DOWHUHG VR WKDWPLOHDJHFDQQRWEHDFFXUDWH O\GHWHUPLQHG  ,QFLGHQWDORUFRQVHTXHQWLDOGDP DJHV LQFOXGLQJ ZLWKRXW OLPLWD WLRQORVVRIWLPHLQFRQYHQLHQFH ORVVRIXVHRIYHKLFOHRUFRPPHU FLDOORVV 7KLV ZDUUDQW\ LV WKH HQWLUH ZDUUDQW\ JLYHQ E\ +0,/ IRU +\XQGDL UHSODFH PHQWSDUWVDQGQRGHDOHURULWVRUKLV DJHQW RU HPSOR\HH LV DXWKRUL]HG WR H[WHQG RU HQODUJH WKLV ZDUUDQW\ DQG QR GHDOHU RU LWV RU KLV DJHQW RU HP SOR\HHLVDXWKRUL]HGWRPDNHDQ\RUDO ZDUUDQW\RQ+0,/VEHKDOI+0,/UH VHUYHVWKHULJKWIRUWKHILQDOGHFLVLRQ LQDOOZDUUDQW\PDWWHUV Owners Responsibility :  3URSHUXVHPDLQWHQDQFHDQGUH RIWKHYHKLFOHLQDFFRUGDQFHZLWK WKHLQVWUXFWLRQVFRQWDLQHGLQWKH 2ZQHUV 0DQXDO DQG 6HUYLFH %RRNOHW.  5HWHQWLRQ RI PDLQWHQDQFH VHU YLFHUHFRUGV,WPD\EHQHFHVVDU\ IRUWKHFXVWRPHUWRVKRZWKDWWKH UHTXLUHG PDLQWHQDQFH KDV EHHQ SHUIRUPHG DV VSHFLILHG LQ WKLV 2ZQHUV 0DQXDO DQG 6HUYLFH %RRNOHW  5HWHQWLRQRIWKHFXVWRPHUVFRS\ RI WKH RULJLQDO UHSDLU RUGHU DQG LWVLQYRLFHELOODJDLQVWZKLFKWKH SDUWZDVUHSODFHG  'HOLYHU\ RI WKH YHKLFOH GXULQJ UHJXODUVHUYLFHEXVLQHVVKRXUVWR WKH VDPH +\XQGDL $XWKRUL]HG 'HDOHUZKRKDGVROGDQGLQVWDOOHG WKHUHSODFHPHQWSDUW  ,QRUGHUWRPDLQWDLQWKHYDOLGLW\RI WKLV 3DUWV UHSODFHPHQW :DUUDQW\ WKH YHKLFOH PXVW EH VHUYLFHG E\ +\XQGDL $XWKRUL]HG ZRUNVKRS LQ DFFRUGDQFHWRWKH2ZQHUV0DQXDO DQG6HUYLFH%RRNOHW 
",,
14,"Labour Free Service of Vehicle <RXU YHKLFOH LV HQWLWOHG IRU ILUVW WKUHHODERXUIUHHVHUYLFHVRI3HULRGLF 0DLQWHQDQFH6FKHGXOH3063OHDVH UHIHU SDJH IRU ODERXU IUHH VHUYLFH FRXSRQV DQG SDJH IRU 306VHUYLFHV NOTICE $OO &RQVXPDEOHV :KHHO $OLJQPHQW DQG RU 3DUW 5HSODFHPHQW LI QRW FRYHUHG LQ ZDUUDQW\ LI UHTXLUHG DUH FKDUJHDEOHWRWKHFXVWRPHUV HYUNDAI EXTENDED WARRANTY* +0,/ RIIHUV RSWLRQDO SDLG H[WHQGHG ZDUUDQW\RQVHOHFWHGPRGHOVLQDG GLWLRQWRWKHEDVLFQHZYHKLFOHZDU UDQW\ )RU  PRUH GHWDLOV RQ +\XQGDL ([WHQGHG :DUUDQW\ SOHDVH FDOO WKH QHDUHVWGHDOHURURXUWROOIUHHQXPEHU  Conditions apply 
",,
15,,"<tab>The table contains information on Hyundai's Road Side Assistance Programme, which offers 24/7 emergency support for vehicle breakdowns and road traffic accidents. The programme includes benefits like roadside repair, vehicle recovery, and taxi support. It also covers events such as tire punctures, dead batteries, locked or lost keys, and issues related to fuel. The assistance is available for three years from the date of sale and is restricted to the nearest Hyundai authorized dealer workshop. Customers can contact the toll-free number provided or visit the website mentioned for more details. There are also some mentions of terms and conditions, including exclusions like the cost of parts replacement and repairs, which are not covered unless specified otherwise. The table seems to be an extract from a longer document, with some entries being partial or abbreviated. Overall, it outlines the key features of Hyundai's roadside assistance policy.</tab>
",
16,,,
17,,"<tab>The table contains data regarding a vehicle inspection, with each row representing a different service or component checked during the inspection. The first row seems to be a header, labeling the columns as different vehicle systems or areas. The following rows provide details and checkmarks indicate the status of each service. 

The inspection covered a comprehensive range of vehicle systems, including steering, exhaust, driveshafts, differentials, and fluid leakages. Some services require further attention or repairs, as indicated by the checkmarks. The last few columns seem to indicate the severity or status of these services, with labels like ""Done,"" ""Required,"" ""IR,"" and ""Test."" 

There are also references to specific components that require attention, such as the steering gear rack and exhaust system. The table also reveals notes on specific issues found during the inspection, such as fluid leakages and a requirement to check or replace certain parts. Some services are marked as completed, while others are pending or require further intervention. 

The final row seems to provide a count or code for each service, perhaps indicating the number of issues found or the priority level. Overall, the table presents a thorough vehicle inspection report, highlighting the vehicle's condition and the required follow-up actions for servicing or repairs.</tab>
<tab>The table contains three columns labeled 'Item', 'Status', and 'Comments'. The 'Item' column seems to indicate various car components, the 'Status' column has entries like 'Done', 'Reqd.' (required), and 'R', while the 'Comments' column provides additional details or actions related to each item.

Starting with the engine and its components, the table suggests a comprehensive check has been conducted. The engine oil and filter change are marked as completed, along with a mention of the specific oil brand used. The engine timing chain or belt has been addressed, with comments indicating replacement or inspection. There are also mentions of air filters, both the general air filter and the cabin air filter, with actions such as replacement or cleaning.

Various fluid checks and replacements have been performed, including engine coolant, brake fluid, power steering fluid, and fuel filter inspection. The gravity of engine oil is also noted. Comments also mention specific parts like hoses, valves, and vacuum systems being inspected or replaced. Additionally, the transmission fluid and clutch were inspected for free play and leakages.

The table further highlights the inspection of the vehicle's lighting, wiper system, battery, and tires. It also includes the check of the vehicle's interior features, such as the air conditioning system and seatbelts. It seems that some work is required on the suspension, as the comments mention tasks like replacing shock absorbers and checking the alignment. The last few entries seem related to the underbody and exterior of the vehicle, noting the inspection of the body panels, mirrors, and windows.

Overall, the data suggests a thorough vehicle inspection or maintenance session has taken place, with comments providing additional insights into the work done or required on the vehicle.</tab>
","<img file_path=(image_hyundai_exter_17_1.png)>The image shows a blank vehicle inspection checklist. The checklist is formatted as a table with columns for the item inspected, the status of the inspection, and any comments.  The table spans two pages and is divided into sections based on the systems inspected. The left side of the table appears to cover items related to the engine and fluids, including oil changes, fluid levels, and filter replacements.  The right side of the table appears to cover items related to the exterior and interior of the vehicle, including lights, wipers, battery, tires, and suspension.  The table suggests that a thorough inspection or maintenance session has been conducted, but no details about the work done or required are visible due to the blank table. 
</img>
"
18,"2. Vehicle Information 2 Exterior overview (front view) ........................................................................ 2-2 Exterior overview (rear view) ......................................................................... 2-3 Interior overview .............................................................................................2-4 Center console overview ................................................................................ 2-5 Engine compartment overview .....................................................................2-6 Dimensions .......................................................................................................2-7 Engine specification ........................................................................................2-7 Bulb wattage ...................................................................................................2-8 Tires and wheels .............................................................................................2-9 Recommended lubricants and capacities ...................................................2-10 Recommended SAE viscosity number ....................................................................2-11 Vehicle Identification Number (VIN) ............................................................2-12 Vehicle certification label ..............................................................................2-12 Tire specification and pressure label ............................................................2-13 Engine number ...............................................................................................2-13 Air conditioner compressor label .................................................................2-14 
",,
19,"(;7(5,2529(59,(:)52179,(: 1. Hood ..............................................................................................................................................5-32 2. Headlight ............................................................................................................................5-38, 9-64 3. Position light* ......................................................................................................................5-38,9-64 4. Daytime running light* or daytime running light/position light* ..................................5-42, 9-64 5. Tires and wheels .......................................................................................................................... 9-41 6. Outside rearview mirror .............................................................................................................. 5-22 7. Front windshield wiper blades ....................................................................................................9-35 8. Windows .......................................................................................................................................5-24 * : if equipped The actual shape may differ from the illustration. OAI3V013001 OAI3V013001 
",,"<img file_path=(image_hyundai_exter_19_1.jpeg)>The image shows a silver SUV with various parts labelled. The car has a sunroof (9), windows (8), outside rearview mirror (6), tires and wheels (5), front windshield wiper blades (7), headlights (2), and daytime running lights (4). The front of the vehicle also shows the hood (1) and a position light (3).  The car appears to be a standard SUV with no unusual features, and the image is likely from a vehicle manual to help the owner identify the different parts of the vehicle.</img>
"
20,"(;7(5,2529(59,(:5($59,(: 1. Antenna* .......................................................................................................................................5-78 2. Doors..............................................................................................................................................5-13 3. Fuel filler door ..............................................................................................................................5-35 4. High mounted stop light ............................................................................................................ 9-69 5. Rear window wiper blade* ..........................................................................................................9-36 6. Wide-rear view camera* ............................................................................................................... 7-5 7. Tailgate ..........................................................................................................................................5-33 8. Rear ultrasonic sensors* ...............................................................................................................7-9 9. Rear combination light ................................................................................................................9-67 10. Rear reflex reflector ...................................................................................................................9-67 11. License plate light ...................................................................................................................... 9-69 * : if equipped The actual shape may differ from the illustration. OAI3V013002 OAI3V013002 
",,"<img file_path=(image_hyundai_exter_20_1.jpeg)>The image shows a rear view of a silver SUV with various features labeled. The image includes labels for the antenna, doors, fuel filler door, high mounted stop light, rear window wiper blade, wide-rear view camera, tailgate, rear ultrasonic sensors, rear combination light, rear reflex reflector, and license plate light. The features are indicated with numbers that correspond to the descriptions in the text provided.  The image is a diagram highlighting various exterior features of the vehicle. The asterisk indicates that the feature is only available if equipped. The actual shape may differ from the illustration. The image shows a rear view of the vehicle, allowing the viewer to see the features on the rear end of the car. The numbers and labels are clear and concise, making it easy for the viewer to identify the features.  The image is informative and helpful for understanding the exterior of the SUV.  It could be used for a variety of purposes, such as for vehicle maintenance or repair, or to provide information to customers about the car's features.</img>
"
